date,KOSPI200/ma_down/cash,KOSPI200/ma_down/basket,KOSPI200/ma_reclaim/cash,KOSPI200/ma_reclaim/basket,KOSPI200/drawdown/cash,KOSPI200/drawdown/basket,KOSPI200/or/cash,KOSPI200/or/basket,KOSPI200/and/cash,KOSPI200/and/basket,KOSPI200/annual5_live/cash,KOSPI200/annual5_live/basket,Semi50/ma_down/cash,Semi50/ma_down/basket,Semi50/ma_reclaim/cash,Semi50/ma_reclaim/basket,Semi50/drawdown/cash,Semi50/drawdown/basket,Semi50/or/cash,Semi50/or/basket,Semi50/and/cash,Semi50/and/basket,Semi50/annual5_live/cash,Semi50/annual5_live/basket,Attack/ma_down/cash,Attack/ma_down/basket,Attack/ma_reclaim/cash,Attack/ma_reclaim/basket,Attack/drawdown/cash,Attack/drawdown/basket,Attack/or/cash,Attack/or/basket,Attack/and/cash,Attack/and/basket,Attack/annual5_live/cash,Attack/annual5_live/basket,SemiSplit/ma_down/cash,SemiSplit/ma_down/basket,SemiSplit/ma_reclaim/cash,SemiSplit/ma_reclaim/basket,SemiSplit/drawdown/cash,SemiSplit/drawdown/basket,SemiSplit/or/cash,SemiSplit/or/basket,SemiSplit/and/cash,SemiSplit/and/basket,SemiSplit/annual5_live/cash,SemiSplit/annual5_live/basket
2011-02-28,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733,100.0,103.15038276012733
2011-03-31,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803,100.0,101.9384868775803
2011-04-30,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253,100.0,103.84429194625253
2011-05-31,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768,100.0,104.83337505980768
2011-06-30,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616,100.0,102.76548814797616
2011-07-31,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224,100.0,105.80392068965224
2011-08-31,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227,100.0,115.24389645379227
2011-09-30,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,100.0,123.6892558952896,101.1780078711145,124.20230212234459,101.1780078711145,124.20230212234459,100.0,123.6892558952896,100.0,123.6892558952896
2011-10-31,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,100.0,119.36463945016527,101.88886220412017,121.16662113080126,101.88886220412017,121.16662113080126,100.0,119.36463945016527,100.0,119.36463945016527
2011-11-30,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,100.0,123.48376036067087,101.93345302665985,124.98282319843436,101.93345302665985,124.98282319843436,100.0,123.48376036067087,100.0,123.48376036067087
