start,end,years,final_nav,total_return,cagr,mdd,vol,sharpe,name,kr_exec,rule,defense,kr_mode,kr_first_buy_drop,us_first_buy_drop,kr_stage1_count,kr_stage2_count,kr_stage3_count,us_stage1_count,us_stage2_count,us_stage3_count
2011-02-28,2026-05-31,15.252566735112936,892.0520740151253,7.648073328913977,0.1519324074296431,-0.1892945536805125,0.13194543329818204,1.1503471073173892,SemiSplit/ma_reclaim/basket,KR_Semi_50_50,ma_reclaim,basket,split,0.0,,121,111,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,743.8686080439463,6.21149634290536,0.13829411781931955,-0.10018213332631765,0.10301144334833721,1.3272621038632666,Semi50/or/basket,KR_Semi_50_50,or,basket,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,726.3711511050301,6.041865785357106,0.13651907027147958,-0.1001821333263182,0.1023059092329192,1.3203952174510438,Semi50/annual5_live/basket,KR_Semi_50_50,annual5_live,basket,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,721.8812413916876,5.998337980678149,0.13605714655339485,-0.10018213332631765,0.10245352544828441,1.314655313827732,Semi50/ma_down/basket,KR_Semi_50_50,ma_down,basket,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,700.6753357217013,5.792755557205229,0.1338385298678142,-0.15495932933221157,0.10514832681088791,1.2647927870330984,Semi50/ma_reclaim/basket,KR_Semi_50_50,ma_reclaim,basket,combined,0.0,,89,7,7,0,0,0
2011-02-28,2026-05-31,15.252566735112936,668.7297112141307,5.483056032562077,0.1303748930598132,-0.09681129687379708,0.10018181162602242,1.2919504541617404,Semi50/drawdown/basket,KR_Semi_50_50,drawdown,basket,combined,-0.0375913406161017,0.0,8,0,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,657.7657799206798,5.376765285013935,0.12915043291330464,-0.09474901452023399,0.09762447277518842,1.3122809617302185,Attack/or/basket,KR_Attack_25_37_37,or,basket,combined,0.0,0.0,40,8,8,3,0,0
2011-02-28,2026-05-31,15.252566735112936,648.8315428369533,5.290151577486521,0.12813846519136396,-0.09681129687379708,0.09975190275827614,1.2771468025844934,Semi50/and/basket,KR_Semi_50_50,and,basket,combined,-0.0375913406161017,,8,0,0,0,0,0
2011-02-28,2026-05-31,15.252566735112936,642.2259932425776,5.226113525298807,0.12738185716442896,-0.09474901452023399,0.09694379665360717,1.304588737341816,Attack/annual5_live/basket,KR_Attack_25_37_37,annual5_live,basket,combined,0.0,0.0,40,8,8,2,0,0
2011-02-28,2026-05-31,15.252566735112936,638.280765981106,5.187866190137229,0.12692648979832621,-0.09474901452023399,0.0970719354612011,1.2988164195272334,Attack/ma_down/basket,KR_Attack_25_37_37,ma_down,basket,combined,0.0,,40,8,8,0,0,0
2011-02-28,2026-05-31,15.252566735112936,616.8591653728695,4.980192694072248,0.12440708079598184,-0.10193975952510415,0.09888440797769628,1.253828160535906,SemiSplit/or/basket,KR_Semi_50_50,or,basket,split,-0.027545888591997025,0.0,46,19,0,3,0,0
2011-02-28,2026-05-31,15.252566735112936,607.3275408523725,4.8877875641498285,0.12325967512050728,-0.1515409631371104,0.10010674690373919,1.2295887633660523,Attack/ma_reclaim/basket,KR_Attack_25_37_37,ma_reclaim,basket,combined,0.0,,89,7,7,0,0,0
