peak,trough,recovery,days,max_drawdown,recovered
2000-01-03,2000-01-06,2000-02-07,35,-0.04037144387119129,True
2000-02-08,2000-02-21,2000-03-03,24,-0.024089401775880703,True
2000-03-06,2000-03-07,2000-03-09,3,-0.0034211232959099336,True
2000-03-09,2000-03-15,2000-03-24,15,-0.02654193130508231,True
2000-03-27,2000-05-23,2000-11-22,240,-0.08326085244741299,True
2000-11-22,2000-11-23,2000-11-24,2,-0.0022636315154590525,True
2000-11-27,2000-11-28,2000-11-29,2,-0.0009699777933135367,True
2000-12-04,2000-12-11,2000-12-14,10,-0.006756434838772529,True
2000-12-15,2000-12-19,2000-12-27,12,-0.013719707878426468,True
2000-12-27,2000-12-28,2000-12-29,2,-0.0010221516835938749,True
2001-01-02,2001-01-03,2001-01-04,2,-0.0014379740701212507,True
2001-01-08,2001-01-09,2001-01-11,3,-0.0053573812471224835,True
2001-01-11,2001-01-15,2001-01-16,5,-0.0007699620799828111,True
2001-01-16,2001-01-17,2001-01-18,2,-0.0007931455878688043,True
2001-01-18,2001-02-02,2001-02-09,22,-0.01080208650879877,True
2001-02-12,2001-04-24,2001-12-28,319,-0.04199669569459774,True
2001-12-28,2002-01-01,2002-01-02,5,-0.003409284950644409,True
2002-01-04,2002-01-08,2002-01-09,5,-0.0034363237632663024,True
2002-01-09,2002-01-16,2002-01-24,15,-0.013304439962922632,True
2002-01-28,2002-02-07,2002-02-14,17,-0.020038184007704074,True
2002-02-14,2002-02-21,2002-02-26,12,-0.006319418446710134,True
2002-02-27,2002-02-28,2002-03-04,5,-0.0018488355932769762,True
2002-03-05,2002-03-08,2002-03-18,13,-0.007018489177737841,True
2002-03-19,2002-03-20,2002-03-22,3,-0.0015976644224284797,True
2002-03-22,2002-03-26,2002-03-27,5,-0.004132264811493425,True
2002-03-27,2002-04-01,2002-04-03,7,-0.004250723929129285,True
2002-04-03,2002-04-10,2002-04-17,14,-0.01563758005285487,True
2002-04-17,2002-06-26,2003-03-06,323,-0.046764012889932816,True
2003-03-10,2003-03-13,2003-03-19,9,-0.012613009605630832,True
2003-03-19,2003-03-20,2003-03-21,2,-0.002116547982624395,True
2003-03-21,2003-03-24,2003-03-25,4,-0.00038865916111563426,True
2003-03-28,2003-03-31,2003-04-01,4,-0.001700354772639745,True
2003-04-01,2003-04-02,2003-04-03,2,-0.0015228056789007294,True
2003-04-03,2003-04-18,2003-04-25,22,-0.01694336098484639,True
2003-04-25,2003-04-29,2003-05-02,7,-0.003431974173195629,True
2003-05-05,2003-05-08,2003-05-09,4,-0.0039929149416957355,True
2003-05-16,2003-05-19,2003-05-23,7,-0.006805047849245738,True
2003-05-30,2003-06-02,2003-06-04,5,-0.004110535294283402,True
2003-06-05,2003-06-09,2003-06-10,5,-0.0034842541760932155,True
2003-06-12,2003-06-13,2003-06-16,4,-0.0026720506388975274,True
2003-06-16,2003-08-06,2003-09-08,84,-0.04526330402129164,True
2003-09-08,2003-09-10,2003-09-16,8,-0.007054972671060589,True
2003-09-18,2003-09-26,2003-11-03,46,-0.03114372344229277,True
2003-11-03,2003-11-04,2003-11-05,2,-0.00132008829845498,True
2003-11-05,2003-11-19,2003-12-01,26,-0.021425633958200185,True
2003-12-01,2003-12-09,2003-12-19,18,-0.01677843337554641,True
2003-12-19,2003-12-23,2003-12-24,5,-0.0009535218160916514,True
2003-12-24,2003-12-29,2003-12-30,6,-0.002793835185850746,True
2003-12-30,2004-01-01,2004-01-02,3,-0.0052540277095385335,True
2004-01-02,2004-01-05,2004-01-06,4,-0.0019803113874666822,True
2004-01-06,2004-01-07,2004-01-08,2,-0.00010198523381410585,True
2004-01-19,2004-01-20,2004-01-21,2,-0.00295083724602041,True
2004-01-21,2004-02-05,2004-03-05,44,-0.025641033766670707,True
2004-03-05,2004-05-17,2004-09-13,192,-0.043722593670938226,True
2004-09-14,2004-09-15,2004-09-16,2,-0.00023893925526885518,True
2004-09-16,2004-09-17,2004-09-20,4,-0.00028998837738913874,True
2004-09-21,2004-09-23,2004-09-27,6,-0.0025976559535008104,True
2004-09-28,2004-09-30,2004-10-04,6,-0.0029767031984045955,True
2004-10-05,2005-01-28,2005-06-09,247,-0.03460567712305984,True
2005-06-09,2005-06-14,2005-07-04,25,-0.007130332812196216,True
2005-07-04,2005-07-06,2005-07-07,3,-0.0013704337056189564,True
2005-07-07,2005-07-18,2005-07-19,12,-0.004758990530385199,True
2005-07-20,2005-07-22,2005-07-28,8,-0.006419877292623943,True
2005-08-01,2005-08-02,2005-08-03,2,-0.001241607998249572,True
2005-08-03,2005-08-08,2005-08-12,9,-0.011172383342947012,True
2005-08-15,2005-08-16,2005-08-23,8,-0.006796299678720863,True
2005-08-23,2005-08-29,2005-09-01,9,-0.007817941902483527,True
2005-09-07,2005-09-08,2005-09-09,2,-0.0008690101026090913,True
2005-09-12,2005-09-15,2005-09-16,4,-0.001161769783097677,True
2005-09-22,2005-09-23,2005-09-28,6,-0.004896955297981953,True
2005-09-28,2005-09-29,2005-09-30,2,-0.0002465566682102738,True
2005-09-30,2005-10-13,2005-11-09,40,-0.020399956342950998,True
2005-11-10,2005-11-11,2005-11-14,4,-0.0038038907650216336,True
2005-11-14,2005-11-15,2005-11-16,2,-0.0077385076846892,True
2005-11-16,2005-11-17,2005-11-18,2,-0.0001394773431122598,True
2005-11-18,2005-11-22,2005-11-23,5,-0.004529030865650929,True
2005-11-25,2005-11-29,2005-12-01,6,-0.004527489182747257,True
2005-12-08,2005-12-15,2006-01-04,27,-0.021761287003870033,True
2006-01-04,2006-01-06,2006-01-09,5,-0.01924257332985091,True
2006-01-09,2006-01-10,2006-01-13,4,-0.00736615385412609,True
2006-01-17,2006-03-20,2006-04-19,92,-0.03584813605227721,True
2006-04-19,2006-04-20,2006-04-28,9,-0.013718866996594858,True
2006-05-02,2006-05-03,2006-05-04,2,-0.005012496645005471,True
2006-05-10,2006-05-11,2006-05-12,2,-0.0001239086518519672,True
2006-05-12,2006-06-13,2007-02-21,285,-0.06898163856634265,True
2007-02-26,2007-03-15,2007-04-17,50,-0.027974920013154936,True
2007-04-18,2007-04-19,2007-04-23,5,-0.004395756900575254,True
2007-04-25,2007-04-30,2007-05-18,23,-0.025210330569018224,True
2007-05-22,2007-05-25,2007-05-30,8,-0.0051045196877818055,True
2007-06-04,2007-06-12,2007-06-18,14,-0.014122202099046688,True
2007-06-19,2007-06-26,2007-07-04,15,-0.017029312587082956,True
2007-07-09,2007-07-11,2007-07-12,3,-0.0005410438356221459,True
2007-07-13,2007-07-16,2007-07-19,6,-0.0012387984267394625,True
2007-07-23,2007-08-17,2007-09-04,43,-0.035355971125503594,True
2007-09-04,2007-09-05,2007-09-06,2,-0.000762474282172354,True
2007-09-06,2007-09-13,2007-09-18,12,-0.006698192413984727,True
2007-09-19,2007-09-20,2007-09-21,2,-0.0038321847399221953,True
2007-10-02,2007-10-04,2007-10-05,3,-4.9303419129342885e-05,True
2007-10-10,2007-10-11,2007-10-12,2,-0.002292660308201855,True
2007-10-15,2007-10-16,2007-10-18,3,-0.0034430948649467608,True
