,S&P 500,러셀 3000,니케이 225,항셍,홍콩 H,대만 가권,상해종합,영국 FTSE 100,프랑스 CAC 40,독일 DAX,KOSPI,인도 SENSEX,에너지,화학,금속및광물,기타 소재,건설,기타자본재,상업서비스,운송,자동차및부품,내구소비재및의류,소비자서비스,미디어,유통,음식료및담배,생활용품,의료,은행,보험,증권,기타금융,소프트웨어,하드웨어,반도체,디스플레이,통신서비스,유틸리티,블루칩30,모멘텀,경기방어주,고배당주,베타플러스,Low Vol,배당성장,Big Vol 지수,FnGuide 컨트래리안,FnGuide 퀄리티밸류 지수,대형가치,대형성장,대형순수가치,대형순수성장,중형가치,중형성장,중형순수가치,중형순수성장,소형가치,소형성장,소형순수가치,소형순수성장,중대형가치,중대형성장,중대형순수가치,중대형순수성장,중소형가치,중소형순수가치,중소형성장,중소형순수성장,채권,20년채권,채권인버스,현금
2001-01-01,1366.01,749.98,13843.6,16102.4,1588.25,5936.2,2065.61,6297.5,5998.49,6795.14,617.91,4326.72,1154.26,1275.36,1246.62,1217.59,1391.62,1281.11,1175.54,1183.68,1218.74,1319.7,1165.96,1316.4,1316.22,1029.38,1061.2,1236.44,1118.45,1315.97,1500.99,1218.31,1557.22,1320.63,1314.76,1231.96,1103.28,1064.6,1255.44,1195.32,1164.95,1243.66,1250.57,1087.97,1204.01,1347.53,1202.95,1144.55,1247.44,1246.96,1270.67,1356.15,1190.26,1466.0,1223.97,1433.81,1247.58,1399.14,1159.56,1393.95,1251.31,1253.91,1259.45,1337.14,1232.67,1182.45,1442.17,1417.81,100.0,100.0,100.0,100.0
2001-02-01,1239.94,680.52,12883.5,14787.9,1809.63,5674.69,1959.18,5917.9,5367.48,6208.24,578.1,4247.04,1134.04,1277.06,1312.5,1201.73,1273.86,1238.8,1152.61,1136.91,1271.15,1190.49,1286.29,1376.29,1375.73,1067.35,1179.92,1259.45,1117.27,1275.45,1547.3,1159.92,1516.3,1271.57,1107.28,1328.98,927.92,1054.7,1200.0,1198.98,1181.49,1245.36,1247.64,1130.46,1218.52,1370.25,1260.57,1178.96,1217.27,1073.12,1289.11,1187.38,1209.23,1397.07,1304.08,1357.52,1276.0,1400.64,1185.79,1400.3,1225.73,1085.08,1285.73,1213.86,1251.95,1228.12,1408.62,1399.86,100.6179589541049,101.2359179082098,99.38583632531567,100.25
2001-03-01,1160.33,635.67,12999.7,12760.6,1815.1801,5797.92,2112.78,5633.7,5180.45,5829.95,523.22,3604.38,1055.94,1120.73,1173.5,963.62,908.35,1168.96,1080.47,928.42,1274.5,1049.43,1289.87,1176.79,1293.57,1011.58,1389.79,1145.77,856.6,1089.72,1161.17,1001.2,1208.92,1080.98,1203.72,1218.91,815.61,851.61,1050.84,1066.85,1039.82,1082.09,1045.06,1124.8,1090.55,1189.64,1146.83,1102.2,1034.46,1043.5,1115.27,1208.57,1083.11,1229.22,1146.03,1239.74,1122.35,1211.41,1079.61,1209.58,1050.43,1042.91,1116.77,1148.24,1103.51,1100.67,1234.15,1243.21,93.75026978014102,87.4161818558886,106.66635971770062,100.500625
2001-04-01,1249.46,686.12,13934.3,13386.0,2062.6499,5381.67,2119.18,5966.9,5640.03,6264.51,577.36,3519.16,1198.77,1092.8,1272.23,1004.4,1019.03,1162.17,1145.62,968.53,1483.82,1133.34,1386.21,1217.15,1525.13,1053.17,1349.49,1179.21,963.32,1265.2,1390.07,1101.93,1459.51,1150.33,1317.6,1287.44,960.09,940.85,1154.39,1174.63,1094.13,1193.72,1157.54,1146.34,1149.81,1406.53,1217.84,1145.62,1146.45,1189.03,1229.74,1349.52,1142.59,1368.57,1187.18,1378.03,1171.47,1315.01,1150.36,1310.26,1157.63,1189.61,1223.92,1296.2,1160.2,1164.17,1359.52,1343.03,92.02080077178188,84.19094148690841,108.67108214805378,100.75187656249999
2001-05-01,1255.82,690.63,13262.1,13174.4,2335.3501,5048.86,2214.26,5796.1,5454.19,6123.26,612.16,3631.91,1376.66,1279.25,1353.14,1119.63,1311.82,1338.21,1261.71,1101.64,1838.67,1389.26,1599.28,1499.75,1714.16,1208.01,1665.98,1347.49,1059.15,1508.78,1597.61,1094.7,1550.36,1249.26,1241.95,1276.15,901.76,1014.96,1361.4,1359.71,1234.75,1396.81,1254.71,1303.91,1385.21,1739.07,1424.8,1376.61,1279.13,1156.64,1420.79,1334.68,1376.85,1496.65,1501.06,1461.5,1361.7,1432.74,1469.05,1425.77,1299.39,1164.39,1440.35,1311.41,1365.33,1470.43,1478.98,1465.28,96.38082126864217,92.16901225904299,103.75508185520654,101.00375625390623
2001-06-01,1224.42,677.03,12969.0,13042.5,2310.47,4883.43,2218.03,5642.5,5225.33,6058.38,595.13,3456.78,1348.04,1214.24,1336.05,1165.88,1464.18,1426.13,1312.24,1043.97,2004.78,1362.25,1800.81,1482.64,1810.59,1186.48,1853.31,1339.73,1134.67,1625.74,1462.56,1159.24,1532.06,1210.57,1108.93,1255.51,816.59,1013.58,1337.41,1395.28,1240.97,1449.69,1273.6,1393.1,1441.49,1769.6,1454.53,1438.35,1283.94,1053.87,1447.2,1238.89,1450.1,1466.39,1563.95,1467.85,1372.45,1378.41,1624.23,1388.85,1313.59,1062.88,1479.53,1242.34,1406.91,1582.12,1427.91,1427.8,100.6022269897579,100.24287572147232,99.40137807305278,101.25626564454099
2001-07-01,1211.23,665.49,11860.8,12316.7,1982.49,4352.98,1920.32,5529.1,5085.51,5861.19,541.55,3329.28,1138.21,1060.7,1139.54,1024.24,1296.26,1257.14,1164.46,932.93,1613.68,1197.17,1581.53,1347.35,1740.72,1087.25,2003.08,1210.52,1065.51,1426.88,1253.79,1097.8,1446.2,1048.9,1042.23,1157.46,837.57,874.35,1145.01,1258.17,1099.83,1293.45,1146.59,1265.32,1289.38,1444.23,1371.23,1294.12,1103.26,1024.06,1252.92,1205.47,1300.64,1252.95,1397.22,1221.76,1192.95,1165.99,1407.59,1166.17,1136.28,1017.99,1304.23,1161.69,1240.58,1397.04,1213.13,1197.79,101.17570541551216,101.38573564181348,98.83795678944493,101.50940630865233
2001-08-01,1133.58,625.26,10713.5,11090.5,1821.48,4509.44,1834.14,5345.0,4689.34,5188.17,545.11,3244.95,1256.52,1061.55,1169.22,1045.48,1395.52,1126.8,1203.76,908.35,1565.64,1078.56,1685.45,1328.45,1651.92,1125.12,2165.14,1183.82,1069.51,1434.33,1270.11,1012.13,1305.01,982.64,1023.72,1020.2,832.2,946.03,1161.5,1273.3,1125.09,1295.61,1129.1,1284.12,1318.98,1397.99,1394.82,1320.34,1098.61,1019.33,1245.49,1183.42,1341.56,1192.24,1459.69,1150.66,1145.99,1023.16,1394.64,1025.17,1136.36,1008.39,1320.43,1124.27,1248.09,1429.36,1088.73,1086.07,105.82881507862088,110.71127371004579,94.4922230544766,101.76317982442396
2001-09-01,1040.94,569.53,9774.68,9950.7,1718.96,3636.94,1764.93,4903.4,4079.02,4308.15,479.68,2811.6,1178.92,926.82,1044.96,972.66,1497.85,1046.0,1375.56,734.91,1296.69,974.21,1530.74,1234.95,1516.01,1130.05,2487.13,1115.94,1010.64,1346.08,1128.61,930.9,1094.26,787.31,765.2,711.11,754.27,881.22,1099.82,1221.49,1066.49,1253.7,1006.01,1252.42,1278.0,1190.76,1341.83,1276.41,995.37,834.03,1129.14,963.83,1284.98,1066.69,1425.56,984.83,1041.49,847.58,1335.73,863.21,1037.54,827.38,1243.68,937.97,1168.55,1381.96,930.36,924.53,107.98778007138425,115.22841328241391,92.60307039731347,102.01758777398501
2001-10-01,1059.01,582.22,10366.3,10074.0,1865.34,3903.49,1689.17,5039.7,4341.29,4559.13,537.81,2989.35,1204.02,1031.73,1151.65,1061.87,1582.71,1083.48,1396.33,758.09,1564.61,1091.74,1780.21,1415.88,1609.31,1197.28,2343.38,1207.84,1184.72,1562.48,1245.16,946.89,1173.72,915.62,945.63,815.26,863.56,865.58,1203.0,1357.5,1132.04,1366.3,1161.28,1308.53,1359.64,1391.49,1514.93,1357.96,1104.28,988.49,1240.01,1125.81,1396.77,1182.66,1512.3,1143.85,1166.55,1028.51,1469.62,1059.24,1147.67,977.37,1366.18,1083.95,1286.42,1498.66,1083.9,1102.31,102.03293391542532,102.52017030457985,98.00757085245593,102.27263174341996
